code,p17hong,p17yoo,p17the,p17han,p17kuk,p17jung,p17valid,p16the,p16han,p16kuk,p16jung,p16valid,r17han,r17the,r17hong,r17kuk,r17yoo,r17jung,r16the,r16han,r16kuk,r16jung,d_the,d_han,d_kuk,d_jung,win17r,winner17,wingap17,sec17r,sec17,third17r,third17,forth17r,forth17,last17r,last17
1102067,1322,458,2909,1780,1736,369,6825,1180,1643,1938,339,5460,0.260805861,0.426227106,0.193699634,0.254358974,0.067106227,0.054065934,0.230321626,0.320693586,0.378273993,0.066168671,0.19590548,-0.059887725,-0.123915018,-0.012102736,0.426227106,1,0.171868132,0.254358974,3,0.193699634,2,0.067106227,4,0.054065934,5
1102068,1096,332,1936,1428,1127,295,4806,871,1330,1380,354,4217,0.297128589,0.402829796,0.228048273,0.234498543,0.069080316,0.061381606,0.22042576,0.336585833,0.349239435,0.089587507,0.182404036,-0.039457243,-0.114740892,-0.028205901,0.402829796,1,0.168331253,0.234498543,3,0.228048273,2,0.069080316,4,0.061381606,5
1102069,1006,321,2102,1327,1135,293,4878,742,1215,1121,178,3479,0.27203772,0.430914309,0.206232062,0.232677327,0.065805658,0.060065601,0.226905915,0.37155079,0.342805297,0.054432955,0.204008395,-0.09951307,-0.11012797,0.005632645,0.430914309,1,0.198236982,0.232677327,3,0.206232062,2,0.065805658,4,0.060065601,5
1102070,1707,535,3341,2242,1989,518,8127,1472,2142,2418,509,7143,0.275870555,0.411098806,0.210040605,0.244739756,0.06582995,0.063738157,0.224017488,0.325981969,0.367985248,0.077462569,0.187081319,-0.050111414,-0.123245492,-0.013724412,0.411098806,1,0.16635905,0.244739756,3,0.210040605,2,0.06582995,4,0.063738157,5
1102071,2573,874,4426,3447,2607,644,11179,1883,3017,3175,748,9524,0.308346006,0.395920923,0.2301637,0.233205117,0.078182306,0.057608015,0.212369461,0.340264824,0.35808446,0.084361315,0.183551462,-0.031918818,-0.124879344,-0.0267533,0.395920923,1,0.162715806,0.233205117,3,0.2301637,2,0.078182306,4,0.057608015,5
1102072,1912,673,3526,2585,2143,467,8768,1680,2471,2500,576,7803,0.29482208,0.402144161,0.218065693,0.244411496,0.076756387,0.053261861,0.231215515,0.340079486,0.344070707,0.079273891,0.170928646,-0.045257406,-0.09965921,-0.026012029,0.402144161,1,0.157732664,0.244411496,3,0.218065693,2,0.076756387,4,0.053261861,5
1102073,1471,536,2736,2007,1643,388,6789,1111,1820,1878,415,5618,0.295625276,0.403004861,0.216674032,0.242009132,0.078951245,0.057151274,0.212202392,0.34762228,0.358700352,0.07926552,0.190802469,-0.051997004,-0.11669122,-0.022114246,0.403004861,1,0.160995728,0.242009132,3,0.216674032,2,0.078951245,4,0.057151274,5
1103051,2139,634,4502,2773,2121,650,10106,2219,2515,2271,846,8521,0.274391451,0.445477934,0.211656442,0.209875322,0.062735009,0.064318227,0.280961107,0.31843947,0.287545143,0.107117213,0.164516827,-0.044048019,-0.077669822,-0.042798986,0.445477934,1,0.233821492,0.211656442,2,0.209875322,3,0.064318227,5,0.062735009,4
1103052,1452,397,2597,1849,1358,512,6337,1342,1769,1437,493,5563,0.291778444,0.40981537,0.229130503,0.214296986,0.062647941,0.080795329,0.265334812,0.349759524,0.284117827,0.097473966,0.144480558,-0.05798108,-0.069820841,-0.016678637,0.40981537,1,0.180684867,0.229130503,2,0.214296986,3,0.080795329,5,0.062647941,4
1103053,1077,298,1880,1375,1085,344,4713,886,1184,1021,356,3747,0.291746234,0.398896669,0.228516868,0.230214301,0.063229366,0.072989603,0.255453516,0.341373548,0.29437702,0.102642722,0.143443152,-0.049627314,-0.06416272,-0.029653119,0.398896669,1,0.168682368,0.230214301,3,0.228516868,2,0.072989603,5,0.063229366,4
