구분,No.,Korean,Scientific,Family,구분,수량
6. 야생화원 ②,6,금강초롱꽃,Hanabusaya asiatica,초롱꽃과,다년초,
6. 야생화원 ②,7,금꿩의다리,Thalictrum rochebrunianum var. grandisepalum,미나리아재비과,다년초,
6. 야생화원 ②,8,꼬리진달래,Rhododendron micranthum ,진달래과,낙엽관목,4
6. 야생화원 ②,9,꽃창포,Iris ensata var. spontanea,붓꽃과,다년초,
6. 야생화원 ②,10,나도밤나무,Meliosma myriantha ,나도밤나무과,낙엽교목,1
6. 야생화원 ②,11,납매,Chimonanthus praecox ,받침꽃과,낙엽관목,5
6. 야생화원 ②,12,노각나무,Stewartia pseudocamellia ,차나무과,낙엽교목,3
6. 야생화원 ②,13,눈향나무,Juniperus chinensis var. sargentii,측백나무과,상록관목,5
6. 야생화원 ②,14,뚝갈,Patrinia villosa,마타리과,다년초,
6. 야생화원 ②,15,모감주나무,Koelreuteria paniculata,무환자나무과,낙엽교목,12
6. 야생화원 ②,16,무궁화,Hibiscus syriacus,아욱과,낙엽관목,4
6. 야생화원 ②,17,무화과나무,Ficus carica,뽕나무과,낙엽관목,5
6. 야생화원 ②,18,미선나무,Abeliophyllum distichum,물푸레나무과,낙엽관목,10
6. 야생화원 ②,19,반디지치,Lithospermum zollingeri ,지치과,다년초,
6. 야생화원 ②,20,홍자단,Cotoneaster horizontalis,장미과,낙엽관목,10
6. 야생화원 ②,21,병꽃나무,Weigela subsessilis,인동과,낙엽관목,10
6. 야생화원 ②,22,봉래꼬리풀,Veronica kiusiana var. diamantiaca ,현삼과,다년초,
6. 야생화원 ②,23,뻐꾹나리,Tricyrtis macropoda,백합과,다년초,
6. 야생화원 ②,24,새우난초,Calanthe discolor ,난초과,다년초,
6. 야생화원 ②,25,서어나무,Carpinus laxiflora,자작나무과,낙엽교목,1
6. 야생화원 ②,26,섬시호,Bupleurum latissimum,산형과,다년초,
6. 야생화원 ②,27,소사나무,Carpinus turczaninowii,자작나무과,낙엽교목,3
6. 야생화원 ②,28,쑥부쟁이,Aster yomena,국화과,다년초,
6. 야생화원 ②,29,애기말발도리,Deutzia gracilis ,범의귀과,낙엽관목,70
6. 야생화원 ②,30,은사시나무,Populus tomentiglandulosa,버드나무과,낙엽교목,2
6. 야생화원 ②,31,이팝나무,Chionanthus retusus,물푸레나무과,낙엽교목,15
