CO2_Pound,CO2_Dollar,Electricity_kWh,Electricity_Dollar,Runoff_Gallons,Runoff_Dollar,O3_Pound,NO2_Pound,SO2_Pound,PM25_Pound
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
5760.6,133.98,4504.2,508.48,919.8,8.219999999999999,40.5,1.4,3.1,1.6
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
11521.2,267.96,9008.4,1016.96,1348.6,12.04,66.6,2.4,5.1,3.0999999999999996
5760.6,133.98,4504.2,508.48,833.2,7.4399999999999995,38.400000000000006,1.4,2.9,1.6
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
1207.4,28.08,920.8,103.95,463.3,4.14,21.5,0.8,1.6,0.9
43211.3,1004.97,10642.8,1280.27,33094.9,295.74,100.30000000000001,13.399999999999999,9.2,5.0
1756.7,40.849999999999994,1353.6,152.8,885.2,7.91,41.5,1.5,3.1,1.8
37613.0,874.7800000000001,13425.0,1684.8899999999999,35492.9,317.15999999999997,103.6,11.3,7.3999999999999995,6.0
13877.2,322.75,2754.9,315.62,13061.5,116.71000000000001,34.7,4.8,2.5999999999999996,2.0
16225.0,377.35,4589.9,522.78,15507.0,138.57,36.7,5.4,2.8,2.1
66423.3,1544.8200000000002,14941.5,1812.4099999999999,53919.899999999994,481.81999999999994,117.9,20.200000000000003,11.399999999999999,6.1
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.0
8640.900000000001,200.96999999999997,6756.299999999999,762.72,1286.6,11.49,58.599999999999994,2.0999999999999996,4.4,2.4000000000000004
