,sector
3981,19
3982,72
3983,73
3984,2
3987,87
3988,63
3989,39
3993,49
3995,96
4005,63
4006,11
4013,68
4014,60
4015,20
4016,89
4017,27
4018,3
4027,2
4028,68
4029,12
4056,86
4066,5
4068,90
4069,0
4070,73
4071,31
4072,18
4073,92
4076,40
4077,70
4078,14
4079,72
4082,2
4083,0
4094,24
4095,49
4101,16
4102,23
4103,96
4104,68
4105,67
4106,60
4107,8
4108,16
4109,40
4110,61
4115,88
4119,78
4120,17
4121,53
4123,48
4124,79
4125,79
4126,1
4127,60
4130,97
4131,87
4132,50
4133,50
4134,35
4135,87
4136,24
4137,96
4138,31
4139,24
4140,46
4141,24
4142,58
4144,42
4145,61
4146,1
4147,87
4148,33
4149,15
4150,5
4151,58
4152,4
4153,37
4154,58
4155,19
4156,13
4157,38
4158,4
4159,55
4160,2
4161,46
4162,88
4163,2
4164,13
4165,86
4166,30
4167,86
4170,31
4171,55
4172,86
4173,86
4174,12
4175,10
4176,70
4178,16
4179,38
4184,4
4195,65
4196,3
4201,67
4202,14
4203,32
4204,29
4210,14
4211,19
4212,2
4213,38
4214,40
4215,14
4216,17
4217,18
4218,89
4219,28
4220,56
4221,30
4222,32
4223,20
4224,16
4225,13
4226,46
4227,52
4228,72
4229,52
4230,13
4231,4
4232,13
4233,2
4234,12
4235,14
4236,5
4237,16
4238,20
4239,12
4240,5
4241,14
4242,4
4243,1
4244,14
4246,1
4253,95
4258,38
4259,85
4260,68
4261,32
4262,88
4263,4
4264,59
4265,82
4279,70
4280,40
4285,77
4286,11
4287,27
4295,6
4296,10
4297,67
4298,10
4299,11
4300,25
4303,27
4304,25
4305,35
4306,12
4307,5
4308,80
4322,87
4328,19
4331,41
4332,6
4334,32
4335,69
4336,82
4349,17
4350,2
4354,85
4355,79
4356,72
4368,86
4369,24
4370,32
4371,46
4372,49
4373,50
4392,30
4393,16
4401,22
4402,63
4404,12
4407,38
4408,2
4409,16
4410,73
4411,42
4413,61
4428,49
4429,0
4430,9
4443,57
4444,63
4445,68
4448,10
4449,17
4451,68
